resource_id,resource_name,unit,wasted,date,time
41e,date,kg,3.0,2022-01-16,05:50 AM
420,strawberry,kg,10.899999999999999,2022-01-14,06:18 AM
435,fishing,kg,9.9,2022-01-16,06:49 AM
435,fishing,kg,14.9,2022-01-16,07:13 AM
43c,spinach,kg,17.099999999999998,2022-01-19,07:14 AM
428,apple,kg,0.6000000000000014,2022-09-16,07:26 AM
437,grapefruit,kg,11.9,2022-01-16,07:26 AM
413,watermelon,kg,12.799999999999999,2022-01-23,07:44 AM
42a,melon,kg,1.0999999999999996,2022-01-23,08:00 AM
43c,spinach,kg,0.20000000000000018,2022-01-26,05:07 AM
422,raspberry,kg,19.9,2022-01-18,05:28 AM
41a,carrot,kg,13.9,2022-08-04,05:47 AM
43f,zuchini,kg,13.6,2022-01-23,05:48 AM
434,pear,kg,3.5,2022-06-15,05:54 AM
42b,blueberry,kg,9.5,2022-01-23,06:05 AM
430,papaya,kg,14.3,2022-01-26,06:06 AM
411,blackcherry,kg,8.799999999999999,2022-01-23,06:09 AM
418,caper,kg,9.6,2022-01-23,06:35 AM
427,aubergine,kg,5.1,2022-01-23,06:38 AM
41e,date,kg,11.8,2022-01-23,07:00 AM
412,pineapple,kg,2.4000000000000012,2022-02-05,07:02 AM
43c,spinach,kg,7.4,2022-01-26,07:28 AM
420,strawberry,kg,9.3,2022-01-21,07:55 AM
41c,cherry,kg,4.799999999999999,2022-02-06,05:40 AM
436,tomato,kg,13.799999999999997,2022-01-28,05:46 AM
414,orange,kg,2.8000000000000007,2022-01-30,05:59 AM
415,avocado,kg,6.2,2022-01-30,06:00 AM
42e,coconut,kg,1.200000000000001,2022-02-22,06:23 AM
418,caper,kg,2.4000000000000004,2022-01-30,06:29 AM
428,apple,kg,12.4,2022-09-30,07:09 AM
436,tomato,kg,6.600000000000001,2022-01-28,07:45 AM
43c,spinach,kg,9.099999999999998,2022-02-02,07:55 AM
43d,grape,kg,0.5999999999999979,2022-03-06,05:07 AM
42b,blueberry,kg,2.6000000000000005,2022-02-06,05:08 AM
415,avocado,kg,0.5999999999999996,2022-02-06,05:15 AM
41a,carrot,kg,9.9,2022-08-18,05:55 AM
418,caper,kg,6.9,2022-02-06,06:00 AM
42a,melon,kg,8.700000000000001,2022-02-13,06:08 AM
425,tangerine,kg,9.999999999999998,2022-02-06,06:24 AM
43f,zuchini,kg,2.8000000000000007,2022-02-06,06:40 AM
416,banana,kg,12.5,2022-02-04,06:59 AM
422,raspberry,kg,12.4,2022-02-01,07:15 AM
434,pear,kg,19.9,2022-06-29,07:18 AM
42b,blueberry,kg,3.3000000000000007,2022-02-06,07:32 AM
43e,pumpkin,kg,15.999999999999996,2022-03-31,07:33 AM
43e,pumpkin,kg,9.9,2022-04-07,05:06 AM
415,avocado,kg,2.799999999999999,2022-02-13,06:07 AM
410,apricot,kg,2.5999999999999996,2022-02-13,06:22 AM
40f,garlic,kg,11.2,2022-02-13,06:24 AM
41c,cherry,kg,0.5999999999999996,2022-02-20,06:29 AM
41a,carrot,kg,12.4,2022-08-25,06:42 AM
434,pear,kg,14.9,2022-07-06,06:51 AM
41d,onion,kg,6.600000000000001,2022-08-05,07:20 AM
42c,blueraspberry,kg,14.0,2022-02-13,07:21 AM
439,chicory,kg,13.200000000000001,2022-02-11,07:31 AM
42d,medlar,kg,3.4000000000000004,2022-02-13,07:49 AM
416,banana,kg,5.1999999999999975,2022-02-11,07:57 AM
417,persimmon,kg,12.4,2022-02-13,08:00 AM
41d,onion,kg,9.9,2022-08-12,05:14 AM
42c,blueraspberry,kg,5.199999999999999,2022-02-20,05:14 AM
40f,garlic,kg,6.200000000000001,2022-02-20,05:54 AM
41b,cucumber,kg,13.0,2022-02-23,06:11 AM
436,tomato,kg,7.4,2022-02-18,06:14 AM
43e,pumpkin,kg,7.4,2022-04-14,06:16 AM
438,parsley,kg,19.2,2022-02-20,06:21 AM
438,parsley,kg,4.0,2022-02-20,06:29 AM
41b,cucumber,kg,12.4,2022-02-23,07:02 AM
420,strawberry,kg,12.4,2022-02-18,07:14 AM
41a,carrot,kg,7.4,2022-09-01,07:22 AM
43c,spinach,kg,17.7,2022-02-23,07:28 AM
43d,grape,kg,7.400000000000001,2022-03-20,07:55 AM
42f,olive,kg,15.899999999999999,2022-03-22,05:19 AM
433,sweetpepper,kg,10.8,2022-02-27,05:24 AM
42c,blueraspberry,kg,11.3,2022-02-27,05:47 AM
425,tangerine,kg,6.2,2022-02-27,06:03 AM
434,pear,kg,9.9,2022-07-20,06:19 AM
423,lettuce,kg,11.8,2022-03-06,06:23 AM
428,apple,kg,7.4,2022-10-28,06:27 AM
40f,garlic,kg,3.7,2022-02-27,06:27 AM
42c,blueraspberry,kg,14.9,2022-02-27,06:32 AM
421,kiwi,kg,7.4,2022-02-27,06:36 AM
42f,olive,kg,12.4,2022-03-22,06:44 AM
43e,pumpkin,kg,12.4,2022-04-21,06:59 AM
42b,blueberry,kg,9.9,2022-02-27,07:01 AM
41d,onion,kg,9.9,2022-08-19,07:04 AM
42f,olive,kg,14.9,2022-03-22,07:49 AM
429,pomegranate,kg,13.2,2022-02-27,07:53 AM
41c,cherry,kg,8.9,2022-03-06,08:00 AM
411,blackcherry,kg,17.4,2022-03-06,05:04 AM
438,parsley,kg,7.4,2022-03-06,05:20 AM
41a,carrot,kg,14.9,2022-09-15,05:41 AM
411,blackcherry,kg,7.4,2022-03-06,06:11 AM
428,apple,kg,14.9,2022-11-04,06:45 AM
426,mango,kg,9.9,2022-03-06,06:59 AM
415,avocado,kg,9.9,2022-03-06,07:06 AM
41c,cherry,kg,9.9,2022-03-13,07:07 AM
41c,cherry,kg,17.4,2022-03-13,07:23 AM
415,avocado,kg,9.9,2022-03-06,07:27 AM
416,banana,kg,6.9,2022-03-04,07:27 AM
431,potato,kg,12.4,2022-06-27,07:32 AM
43d,grape,kg,7.4,2022-04-03,07:33 AM
429,pomegranate,kg,17.4,2022-03-06,07:47 AM
41c,cherry,kg,19.9,2022-03-13,07:49 AM
424,lemon,kg,17.4,2022-03-06,07:56 AM
